ID;SITC;Countries;Periods;ImportValue_1;ExportValue_2;BalanceOfTrade_3;ChangeInImportValue_4;ChangeInExportValue_5
51;T001082;T001047;2015JJ00;372193;418982;46789;;
192;T001082;L007935;2015JJ00;200480;302505;102025;;
333;T001082;L006998;2015JJ00;171714;116478;-55236;;
474;T001082;L007933;2015JJ00;;;;;
615;T001082;L008519;2015JJ00;;;;;
756;T001082;L008520;2015JJ00;;;;;
897;T001082;L008524;2015JJ00;;;;;
1038;T001082;L008531;2015JJ00;;;;;
1179;T001082;L008527;2015JJ00;;;;;
1320;T001082;L008533;2015JJ00;;43;;;
1461;T001082;L008534;2015JJ00;8;47;39;;
1602;T001082;L008535;2015JJ00;1174;1115;-60;;
1743;T001082;L008536;2015JJ00;0;0;0;;
1884;T001082;L008537;2015JJ00;0;7;7;;
2025;T001082;L008538;2015JJ00;1;16;15;;
2166;T001082;L008539;2015JJ00;463;229;-233;;
2307;T001082;L008540;2015JJ00;0;1;1;;
2448;T001082;L008532;2015JJ00;;;;;
2589;T001082;L008541;2015JJ00;0;8;8;;
2730;T001082;L008542;2015JJ00;1139;679;-459;;
2871;T001082;L008543;2015JJ00;3;31;28;;
3012;T001082;L008544;2015JJ00;6;95;90;;
3153;T001082;L008545;2015JJ00;988;2239;1250;;
3294;T001082;L008709;2015JJ00;2175;4937;2763;;
3435;T001082;L008546;2015JJ00;4;177;173;;
3576;T001082;L008547;2015JJ00;12;56;44;;
3717;T001082;L008548;2015JJ00;115;140;26;;
3858;T001082;L008549;2015JJ00;870;184;-686;;
3999;T001082;L008550;2015JJ00;3;10;7;;
4140;T001082;L008783;2015JJ00;128;208;80;;
4281;T001082;L008552;2015JJ00;37909;43914;6005;;
4422;T001082;L008553;2015JJ00;7;8;1;;
4563;T001082;L008554;2015JJ00;4;125;121;;
4704;T001082;L008555;2015JJ00;9;5;-3;;
4845;T001082;L006997;2015JJ00;;0;;;
4986;T001082;L008557;2015JJ00;65;83;18;;
5127;T001082;L008794;2015JJ00;1;47;46;;
5268;T001082;L008559;2015JJ00;57;143;86;;
5409;T001082;L008560;2015JJ00;1;10;9;;
5550;T001082;L008561;2015JJ00;0;0;0;;
5691;T001082;L008562;2015JJ00;4330;2697;-1634;;
5832;T001082;L008564;2015JJ00;0;0;0;;
5973;T001082;L008565;2015JJ00;9;24;15;;
6114;T001082;L008566;2015JJ00;0;30;30;;
6255;T001082;L008567;2015JJ00;558;897;339;;
6396;T001082;L008568;2015JJ00;9;72;64;;
6537;T001082;L008569;2015JJ00;0;12;12;;
6678;T001082;L008570;2015JJ00;167;28;-139;;
6819;T001082;L008645;2015JJ00;321;115;-206;;
6960;T001082;L008571;2015JJ00;1587;2993;1406;;
7101;T001082;L008644;2015JJ00;0;81;80;;
7242;T001082;L008572;2015JJ00;1;173;172;;
7383;T001082;L008573;2015JJ00;0;10;10;;
7524;T001082;L008817;2015JJ00;0;30;29;;
7665;T001082;L008763;2015JJ00;0;29;29;;
7806;T001082;L008574;2015JJ00;790;491;-299;;
7947;T001082;L008575;2015JJ00;32428;8527;-23901;;
8088;T001082;L008577;2015JJ00;0;0;0;;
8229;T001082;L008578;2015JJ00;0;;0;;
8370;T001082;L008579;2015JJ00;852;526;-326;;
8511;T001082;L008580;2015JJ00;2;3;1;;
8652;T001082;L008581;2015JJ00;23;105;82;;
8793;T001082;L008582;2015JJ00;13;95;83;;
8934;T001082;L008583;2015JJ00;0;0;0;;
9075;T001082;L008584;2015JJ00;561;73;-489;;
9216;T001082;L008654;2015JJ00;178;533;355;;
9357;T001082;L008585;2015JJ00;146;149;4;;
9498;T001082;L008586;2015JJ00;11;216;205;;
9639;T001082;L008587;2015JJ00;61;334;273;;
9780;T001082;L008764;2015JJ00;5143;6569;1426;;
9921;T001082;L008588;2015JJ00;3731;5734;2003;;
10062;T001082;L008589;2015JJ00;1;29;28;;
10203;T001082;L008590;2015JJ00;0;3;3;;
10344;T001082;L008591;2015JJ00;180;111;-68;;
10485;T001082;L008593;2015JJ00;263;375;112;;
10626;T001082;L008594;2015JJ00;286;1392;1105;;
10767;T001082;L008595;2015JJ00;32;34;2;;
10908;T001082;L008596;2015JJ00;299;277;-22;;
11049;T001082;L008597;2015JJ00;0;4;4;;
11190;T001082;L008598;2015JJ00;283;717;434;;
11331;T001082;L008599;2015JJ00;242;82;-160;;
11472;T001082;L008601;2015JJ00;0;1;1;;
11613;T001082;L008600;2015JJ00;27;41;14;;
11754;T001082;L008602;2015JJ00;4;4;0;;
11895;T001082;L008604;2015JJ00;3664;4337;673;;
12036;T001082;L008605;2015JJ00;16300;33123;16823;;
12177;T001082;L008608;2015JJ00;1;13;12;;
12318;T001082;L008607;2015JJ00;0;3;3;;
12459;T001082;L008609;2015JJ00;204;109;-95;;
