ID;SITC;Countries;Periods;ImportValue_1;ExportValue_2;BalanceOfTrade_3;ChangeInImportValue_4;ChangeInExportValue_5
90;T001082;T001047;2018JJ00;441275;497874;56600;     7.9;     6.5
231;T001082;L007935;2018JJ00;235902;352382;116480;     6.4;     5.6
372;T001082;L006998;2018JJ00;205372;145492;-59880;     9.8;     8.8
513;T001082;L007933;2018JJ00;276318;377701;101383;;
654;T001082;L008519;2018JJ00;11069;16130;5061;;
795;T001082;L008520;2018JJ00;48827;38132;-10695;;
936;T001082;L008524;2018JJ00;99545;55488;-44057;;
1077;T001082;L008531;2018JJ00;2208;3776;1569;;
1218;T001082;L008527;2018JJ00;3308;6648;3340;;
1359;T001082;L008533;2018JJ00;3;33;30;    22.2;     1.9
1500;T001082;L008534;2018JJ00;18;89;72;   225.4;    76.4
1641;T001082;L008535;2018JJ00;1010;662;-348;    26.6;   -13.7
1782;T001082;L008536;2018JJ00;;0;0;  -100.0;   144.7
1923;T001082;L008537;2018JJ00;0;4;4;   -44.9;    35.0
2064;T001082;L008538;2018JJ00;2;16;14;   -28.8;     7.6
2205;T001082;L008539;2018JJ00;27;137;109;   478.6;    -9.0
2346;T001082;L008540;2018JJ00;0;1;1;   -54.2;    14.6
2487;T001082;L008532;2018JJ00;0;0;0;   246.0;   -79.8
2628;T001082;L008541;2018JJ00;0;7;7;   463.9;    30.8
2769;T001082;L008542;2018JJ00;1253;873;-380;    12.7;    10.5
2910;T001082;L008543;2018JJ00;5;69;65;   -24.7;    47.2
3051;T001082;L008544;2018JJ00;94;114;20;;     1.9
3192;T001082;L008545;2018JJ00;1396;3075;1679;    14.4;    18.3
3333;T001082;L008709;2018JJ00;2911;6274;3363;    16.4;     9.3
3474;T001082;L008546;2018JJ00;85;172;88;  1732.7;    25.0
3615;T001082;L008547;2018JJ00;3;65;62;   -78.2;   -67.4
3756;T001082;L008548;2018JJ00;174;189;15;    51.7;    15.4
3897;T001082;L008549;2018JJ00;1378;246;-1132;    10.0;   -26.5
4038;T001082;L008550;2018JJ00;5;14;10;    18.1;     4.5
4179;T001082;L008783;2018JJ00;202;240;38;     6.0;    -6.7
4320;T001082;L008552;2018JJ00;44143;50551;6408;     4.6;     5.0
4461;T001082;L008553;2018JJ00;5;6;1;   -10.6;    18.6
4602;T001082;L008554;2018JJ00;3;99;95;   -24.4;    29.5
4743;T001082;L008555;2018JJ00;64;70;6;  3474.3;  1260.0
4884;T001082;L006997;2018JJ00;0;1;1;  8751.6;    45.0
5025;T001082;L008557;2018JJ00;61;56;-5;    57.3;   -16.5
5166;T001082;L008794;2018JJ00;1;66;65;    87.5;     9.2
5307;T001082;L008559;2018JJ00;97;185;89;    -6.8;    13.1
5448;T001082;L008560;2018JJ00;3;5;2;   115.4;   -56.3
5589;T001082;L008561;2018JJ00;;0;0;  -100.0;   -85.4
5730;T001082;L008562;2018JJ00;3682;2481;-1201;    -9.1;     0.6
5871;T001082;L008564;2018JJ00;0;0;0;   252.9;   154.6
6012;T001082;L008565;2018JJ00;1;11;10;   -72.9;    70.9
6153;T001082;L008566;2018JJ00;1;29;28;    -2.5;   -36.8
6294;T001082;L008567;2018JJ00;667;1087;420;    10.8;    10.7
6435;T001082;L008568;2018JJ00;10;69;58;   -19.6;    12.7
6576;T001082;L008569;2018JJ00;0;10;10;   -68.0;   -14.6
6717;T001082;L008570;2018JJ00;361;36;-325;    17.5;    22.0
6858;T001082;L008645;2018JJ00;306;150;-156;    -5.6;    27.5
6999;T001082;L008571;2018JJ00;1704;3913;2208;    13.4;    15.8
7140;T001082;L008644;2018JJ00;0;59;59;   -92.7;    92.1
7281;T001082;L008572;2018JJ00;399;1122;724;    -6.3;    84.5
7422;T001082;L008573;2018JJ00;0;13;13;    77.4;    22.5
7563;T001082;L008817;2018JJ00;0;28;28;;    16.9
7704;T001082;L008763;2018JJ00;298;24;-273;    64.1;   162.5
7845;T001082;L008574;2018JJ00;1082;706;-376;    20.8;    17.0
7986;T001082;L008575;2018JJ00;39192;11736;-27457;     8.5;     3.7
8127;T001082;L008577;2018JJ00;;0;0;;
8268;T001082;L008578;2018JJ00;0;0;0;   -18.9;   -44.7
8409;T001082;L008579;2018JJ00;745;439;-307;   -14.5;    -4.1
8550;T001082;L008580;2018JJ00;1;3;2;   -23.3;   -21.1
8691;T001082;L008581;2018JJ00;27;51;23;    71.3;   -18.7
8832;T001082;L008582;2018JJ00;63;247;183;   550.0;    61.3
8973;T001082;L008583;2018JJ00;0;0;0;   -41.9;   -11.0
9114;T001082;L008584;2018JJ00;698;82;-616;    18.7;   -34.7
9255;T001082;L008654;2018JJ00;189;719;530;   -34.4;    12.4
9396;T001082;L008585;2018JJ00;16;166;150;;    10.4
9537;T001082;L008586;2018JJ00;8;248;239;     3.5;     4.7
9678;T001082;L008587;2018JJ00;65;488;423;    -0.6;    42.5
9819;T001082;L008764;2018JJ00;5237;7488;2252;    -1.2;     7.2
9960;T001082;L008588;2018JJ00;4151;6234;2083;     7.7;     6.7
10101;T001082;L008589;2018JJ00;3;23;20;   -28.4;    -6.1
10242;T001082;L008590;2018JJ00;0;4;4;   -85.0;    29.1
10383;T001082;L008591;2018JJ00;168;220;52;    10.3;    81.5
10524;T001082;L008593;2018JJ00;307;432;126;    -2.3;    -5.3
10665;T001082;L008594;2018JJ00;355;1353;998;    -9.7;    12.7
10806;T001082;L008595;2018JJ00;12;29;17;     3.3;     6.8
