ID;SITC;Countries;Periods;ImportValue_1;ExportValue_2;BalanceOfTrade_3;ChangeInImportValue_4;ChangeInExportValue_5
12;T001082;T001047;2012JJ00;389449;429717;40268;     6.7;     5.0
153;T001082;L007935;2012JJ00;200696;311724;111028;     3.7;     2.9
294;T001082;L006998;2012JJ00;188753;117993;-70760;    10.2;    10.8
435;T001082;L007933;2012JJ00;;;;;
576;T001082;L008519;2012JJ00;;;;;
717;T001082;L008520;2012JJ00;;;;;
858;T001082;L008524;2012JJ00;;;;;
999;T001082;L008531;2012JJ00;;;;;
1140;T001082;L008527;2012JJ00;;;;;
1281;T001082;L008533;2012JJ00;4;85;81;   100.4;   -18.6
1422;T001082;L008534;2012JJ00;2;38;36;   -60.4;     8.7
1563;T001082;L008535;2012JJ00;4123;765;-3358;    60.1;    58.1
1704;T001082;L008536;2012JJ00;0;0;0;    22.3;   -41.6
1845;T001082;L008537;2012JJ00;1;55;54;   -97.4;   -24.5
1986;T001082;L008538;2012JJ00;0;18;18;   -66.6;    25.0
2127;T001082;L008539;2012JJ00;574;435;-139;   -14.5;    66.6
2268;T001082;L008540;2012JJ00;0;1;1;   -38.6;   173.5
2409;T001082;L008532;2012JJ00;;0;0;  -100.0;
2550;T001082;L008541;2012JJ00;0;31;31;   -49.9;   914.3
2691;T001082;L008542;2012JJ00;1869;729;-1140;    16.6;    46.5
2832;T001082;L008543;2012JJ00;3;43;40;   -87.4;    -4.3
2973;T001082;L008544;2012JJ00;3;82;78;   -62.4;    14.9
3114;T001082;L008545;2012JJ00;926;2295;1370;     1.1;    26.8
3255;T001082;L008709;2012JJ00;1822;4927;3104;    -3.4;    -4.5
3396;T001082;L008546;2012JJ00;157;165;7; 18775.5;    -1.2
3537;T001082;L008547;2012JJ00;1;112;111;   -79.9;   115.4
3678;T001082;L008548;2012JJ00;180;140;-39;    40.3;     6.0
3819;T001082;L008549;2012JJ00;579;142;-437;     3.6;     4.7
3960;T001082;L008550;2012JJ00;1;9;7;    -7.1;   -32.9
4101;T001082;L008783;2012JJ00;147;322;175;    93.6;    10.0
4242;T001082;L008552;2012JJ00;37701;48518;10817;     3.5;    -0.3
4383;T001082;L008553;2012JJ00;9;5;-4;    58.0;     9.3
4524;T001082;L008554;2012JJ00;2;148;146;   -66.5;   -74.2
4665;T001082;L008555;2012JJ00;0;12;12;   -94.5;    52.1
4806;T001082;L006997;2012JJ00;0;1;0;   786.0;    16.0
4947;T001082;L008557;2012JJ00;114;53;-61;   169.0;    61.7
5088;T001082;L008794;2012JJ00;;;;;
5229;T001082;L008559;2012JJ00;36;100;64;     5.6;     8.7
5370;T001082;L008560;2012JJ00;2;5;3;   953.6;   -60.2
5511;T001082;L008561;2012JJ00;0;1;1;   -81.8;    -5.8
5652;T001082;L008562;2012JJ00;5643;3082;-2561;     0.5;    35.1
5793;T001082;L008564;2012JJ00;0;0;0;    -4.1;
5934;T001082;L008565;2012JJ00;1;22;22;   -43.2;   -87.4
6075;T001082;L008566;2012JJ00;3;17;14;   460.4;    18.8
6216;T001082;L008567;2012JJ00;294;627;333;   -14.6;    19.1
6357;T001082;L008568;2012JJ00;5;47;42;    84.1;    40.8
6498;T001082;L008569;2012JJ00;0;6;6;   -81.2;     4.8
6639;T001082;L008570;2012JJ00;67;12;-55;    24.0;    20.3
