ID;SITC;Countries;Periods;ImportValue_1;ExportValue_2;BalanceOfTrade_3;ChangeInImportValue_4;ChangeInExportValue_5
25;T001082;T001047;2013JJ00;386355;433106;46751;    -0.8;     0.8
166;T001082;L007935;2013JJ00;202149;317031;114882;;
307;T001082;L006998;2013JJ00;184205;116075;-68130;;
448;T001082;L007933;2013JJ00;;;;;
589;T001082;L008519;2013JJ00;;;;;
730;T001082;L008520;2013JJ00;;;;;
871;T001082;L008524;2013JJ00;;;;;
1012;T001082;L008531;2013JJ00;;;;;
1153;T001082;L008527;2013JJ00;;;;;
1294;T001082;L008533;2013JJ00;1;71;70;   -65.6;   -16.5
1435;T001082;L008534;2013JJ00;9;43;35;   274.9;    13.0
1576;T001082;L008535;2013JJ00;3166;1147;-2018;   -23.2;    50.1
1717;T001082;L008536;2013JJ00;0;0;0;    40.5;   205.5
1858;T001082;L008537;2013JJ00;2;3;1;   250.7;   -94.6
1999;T001082;L008538;2013JJ00;0;16;16;    35.7;    -9.9
2140;T001082;L008539;2013JJ00;1068;361;-706;    86.0;   -17.0
2281;T001082;L008540;2013JJ00;0;1;1;   -43.4;   -28.7
2422;T001082;L008532;2013JJ00;14;0;-14;;  4041.8
2563;T001082;L008541;2013JJ00;0;3;3;   -17.6;   -88.9
2704;T001082;L008542;2013JJ00;1314;1019;-295;   -29.7;    39.8
2845;T001082;L008543;2013JJ00;1;48;46;   -51.0;    12.3
2986;T001082;L008544;2013JJ00;6;82;76;    69.6;     0.9
3127;T001082;L008545;2013JJ00;834;2229;1396;    -9.9;    -2.9
3268;T001082;L008709;2013JJ00;1953;4948;2995;     7.1;     0.4
3409;T001082;L008546;2013JJ00;20;209;190;   -87.4;    27.2
3550;T001082;L008547;2013JJ00;2;39;37;    81.8;   -65.1
3691;T001082;L008548;2013JJ00;288;133;-156;    60.7;    -5.3
3832;T001082;L008549;2013JJ00;724;153;-571;    25.0;     7.9
3973;T001082;L008550;2013JJ00;2;7;5;    65.9;   -19.9
