ID;SITC;Countries;Periods;ImportValue_1;ExportValue_2;BalanceOfTrade_3;ChangeInImportValue_4;ChangeInExportValue_5
38;T001082;T001047;2014JJ00;382416;433405;50989;    -1.0;     0.1
179;T001082;L007935;2014JJ00;198383;316949;118566;;
320;T001082;L006998;2014JJ00;184034;116457;-67577;;
461;T001082;L007933;2014JJ00;;;;;
602;T001082;L008519;2014JJ00;;;;;
743;T001082;L008520;2014JJ00;;;;;
884;T001082;L008524;2014JJ00;;;;;
1025;T001082;L008531;2014JJ00;;;;;
1166;T001082;L008527;2014JJ00;;;;;
1307;T001082;L008533;2014JJ00;1;49;47;    16.4;   -31.1
1448;T001082;L008534;2014JJ00;5;44;39;   -42.7;     1.5
1589;T001082;L008535;2014JJ00;2344;1001;-1343;   -25.9;   -12.7
1730;T001082;L008536;2014JJ00;0;0;0;    21.5;    -3.4
1871;T001082;L008537;2014JJ00;1;24;22;   -33.2;   702.8
2012;T001082;L008538;2014JJ00;1;18;17;   265.8;    11.6
2153;T001082;L008539;2014JJ00;917;344;-573;   -14.1;    -4.8
2294;T001082;L008540;2014JJ00;0;1;1;   -68.6;    77.6
2435;T001082;L008532;2014JJ00;0;0;0;  -100.0;   -91.6
2576;T001082;L008541;2014JJ00;0;4;4;    93.3;    21.0
2717;T001082;L008542;2014JJ00;1169;851;-318;   -11.0;   -16.4
2858;T001082;L008543;2014JJ00;1;37;36;   -11.4;   -22.0
2999;T001082;L008544;2014JJ00;4;86;82;   -26.6;     4.6
3140;T001082;L008545;2014JJ00;975;2181;1206;    17.0;    -2.2
3281;T001082;L008709;2014JJ00;1992;5104;3112;     2.0;     3.2
3422;T001082;L008546;2014JJ00;65;284;219;   227.3;    35.5
3563;T001082;L008547;2014JJ00;1;55;53;    -8.2;    40.3
3704;T001082;L008548;2014JJ00;90;147;58;   -68.9;    11.0
3845;T001082;L008549;2014JJ00;911;152;-759;    25.8;    -0.8
3986;T001082;L008550;2014JJ00;2;9;7;   -18.2;    31.8
4127;T001082;L008783;2014JJ00;94;303;209;    43.2;   -15.3
4268;T001082;L008552;2014JJ00;37020;47512;10492;    -1.4;    -0.7
4409;T001082;L008553;2014JJ00;12;7;-5;    66.5;   -11.6
4550;T001082;L008554;2014JJ00;7;141;134;   418.0;    27.7
4691;T001082;L008555;2014JJ00;0;4;4;   159.9;   -16.8
4832;T001082;L006997;2014JJ00;;0;;;   -49.7
4973;T001082;L008557;2014JJ00;99;82;-18;    -8.3;   -40.5
5114;T001082;L008794;2014JJ00;1;32;32;    19.3;   -24.5
5255;T001082;L008559;2014JJ00;50;130;80;    24.4;    17.3
5396;T001082;L008560;2014JJ00;1;11;11;   125.7;    27.2
5537;T001082;L008561;2014JJ00;0;1;1;  3019.7;   -30.9
5678;T001082;L008562;2014JJ00;4639;2817;-1822;   -20.2;    28.4
5819;T001082;L008564;2014JJ00;0;;0;   -97.0;  -100.0
5960;T001082;L008565;2014JJ00;1;80;79;    14.0;   110.9
6101;T001082;L008566;2014JJ00;0;18;18;   -78.6;   -38.4
6242;T001082;L008567;2014JJ00;515;801;286;    18.4;    15.4
6383;T001082;L008568;2014JJ00;6;54;48;;     5.9
6524;T001082;L008569;2014JJ00;1;18;18;   338.6;    95.3
6665;T001082;L008570;2014JJ00;119;18;-101;    39.0;    56.8
6806;T001082;L008645;2014JJ00;359;135;-224;    21.2;    24.8
6947;T001082;L008571;2014JJ00;1357;2551;1194;     6.7;    -2.7
7088;T001082;L008644;2014JJ00;0;50;50;   -46.1;   -67.3
7229;T001082;L008572;2014JJ00;0;123;123;   -93.2;   -50.6
7370;T001082;L008573;2014JJ00;0;9;9;   -96.7;   -83.8
7511;T001082;L008817;2014JJ00;0;35;35;   -83.0;    13.3
7652;T001082;L008763;2014JJ00;0;38;38;   -29.5;    77.2
7793;T001082;L008574;2014JJ00;842;449;-393;   -11.0;    -9.4
7934;T001082;L008575;2014JJ00;35398;7920;-27478;    11.3;     2.7
8075;T001082;L008577;2014JJ00;0;0;0;   173.5;   -91.1
8216;T001082;L008578;2014JJ00;0;;0;   326.5;  -100.0
8357;T001082;L008579;2014JJ00;1152;454;-697;   -12.7;    -1.5
8498;T001082;L008580;2014JJ00;1;3;2;   -69.7;     0.7
8639;T001082;L008581;2014JJ00;4;130;127;   -78.4;    22.0
8780;T001082;L008582;2014JJ00;37;116;79;   157.2;    -1.6
8921;T001082;L008583;2014JJ00;0;0;0;  7020.8;   -63.3
9062;T001082;L008584;2014JJ00;2284;68;-2216;   -13.0;   -18.0
9203;T001082;L008654;2014JJ00;84;456;372;   -26.1;    12.9
9344;T001082;L008585;2014JJ00;120;107;-13;   -11.1;     2.3
